ASIN,Price,Title,Stars,Ratings,Manufacturer,Link,Description,Features
B0B68ZS5G1,"1,100","uppercase Medium 19L Laptop Backpack 1600EBP1 Compact 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls , 750 Days warranty",5.0,23,Acefour Accessories Pvt. Ltd.,https://amazon.com/dp/B0B68ZS5G1,"Are you bored of lugging around a backpack much too large and unwieldy? This handcrafted uppercase Compact Laptop Backpack is your perfect companion. It carries a full-sized 16"" laptop and comes with spacious compartments for your chargers, accessories, and other electronics. Designed with care - Holds 4-5 A4-sized books or a change of clothes - Zipper organiser to store your wallet, stationery, and phone charger. - Front access pocket for you to easily carry important small items. - Bottle holder on the side. - Trolley sleeve on the back for longer journeys. - Made of luxurious recycled material and has ultra-comfortable shoulder straps with thick padding. - Air mesh on the back optimises breathability and regulates temperature while you wear the backpack. Designed for good - A promise of sustainable and ethical production uppercase is committed to partnering with you in building a world more beautiful. All our products are made from sustainable materials and are GRS (Global Recycle Standard) certified. Our manufacturing processes conform to the highest and most stringent GRS criteria. We ensure fixed working hours, minimum wages, and no child labour. We maintain strict standards in factory safety, energy management, and waste disposal management. We do not use any restricted or harmful chemicals. Every Compact Laptop Backpack 5A bought helps reduce 6.5 1-litre plastic bottles from the planet, helps conserve 86ml of crude oil, and prevents 425g of CO₂ emission.* *Approximate calculations based on information available on www.textilevaluechain.in","Handcrafted with care and made up of premium quality robust material,Compact yet spacious; Wrinkle free bag and 3x more water resistant with Rainproof zippers;Trolley sleeve to securely place the bags on the luggage,Right sized with sturdy stitching; Dimension: (30.3 cm x 14.5 cm x 43 cm); Warranty: 750 days international warranty,GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596),Padded laptop compartment fits up to 16”, Front Access pocket & Back padding with Air mesh"
B0B5NBLGBQ,"1,400","uppercase Medium 14L Laptop Backpack 2100EBP1 Roll Top Office - College 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",5.0,17,Acefour Accessories Pvt. Ltd.,https://amazon.com/dp/B0B5NBLGBQ,"If you feel all backpacks are just the same old boring black and grey bags, read on. Especially if you are stylish and are looking for one that will complement your style. This handcrafted Uppercase Roll Top Laptop Backpack is a stylish(European design), sleek, and sturdy yet lightweight laptop backpack. It is large enough to hold a 15"" laptop and leaves you with more than enough space to pack your other essentials.Whether you are a college student or a working professional, this is the ideal everyday backpack. Designed with care - Spacious compartment that can carry 3+ A4-sized books or a set of clothes, and all your essential chargers and electronics. - Internal organiser to store your power bank and cables. - Front access pocket for important small items. - Bottle holder on the side. - Convenient trolley sleeve on the back allows it to be securely placed on a trolley for longer journeys. - Ultra-comfortable shoulder straps with thick padding. - Superior material quality - Premium Nylon-sheen fabric gives the backpack a smooth and glossy feel that is a joy to touch. - Air mesh on the back optimises breathability and regulates temperature while you wear the backpack. Designed for good - A promise of sustainable and ethical production Uppercase is committed to partnering with you in building a world more beautiful. All our products are made from sustainable materials and are GRS (Global Recycle Standard) certified. Our manufacturing processes conform to the highest and most stringent GRS criteria. We ensure fixed working hours, minimum wages, and no child labour. We maintain strict standards in factory safety, energy management, and waste disposal management. We do not use any restricted or harmful chemicals. Every Roll Top Laptop Backpack bought helps reduce 9 1-litre plastic bottles from the planet, helps conserve 117ml of crude oil, and prevents 584g of CO₂ emission. * *Approximate calculations based on information available on www.textilevaluechain.in","Handcrafted with care and made up of premium quality robust material,Wrinkle free bag and 3x more water resistant with Rainproof zippers,Trolley sleeve to securely place the bags on the luggage; Roll top wide opening for easy access; Padded laptop compartment fits up to 15”, Front Access pocket & Back padding with Air mesh,Right sized with sturdy stitching; Dimension: (26.5 cm x 13.3 cm x 38.2); Warranty: 750 days international warranty,GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596)"
B07CJCGM1M,"1,099",American Tourister Casual Backpack,4.1,"42,661",,https://amazon.com/dp/B07CJCGM1M,,
B085MHDJ93,645,Half Moon 35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Navy),3.9,"11,190",Amazing Bags,https://amazon.com/dp/B085MHDJ93,"Half Moon backpack ( Made by AB Amazing Bag ) is designed to be used everywhere you can use it as:- college bag(as it has numerous pockets inside),school bag(there is very large space inside the bag that can be used to carry numerous books),travel backpack(the volume of this backpack is 35 litres and that is enough for travelling),laptop bag(as it contain a laptop sleeve). It is navy in colour so that it will not become dirty easily it has padded straps to make it easy to carry .It is fully waterproof to protect your laptop, books etc from water and rain.The material used in this bag is dust free so, that it can product your backpack from dust. It has a rain cover which is very useful in rainy season to protect your backpack from rain. You should really buy it as it can be used everywhere and IT IS MADE IN INDIA.","Navy in colour so that it does not catch dust easily || A SECRET POCKET at bottom || Designed For Comfort- back padded and padded strap for more comfort || made from heavy quality nylon and polyester || best quality zip and chain used || It is fully waterproof to protect your books laptop from rain || best quality material used to design its inside structure || a fully paddded laptop sleeve that fit to all sizes and companies of laptop like HP , Dell , Asus , Lenovo , mi etc,It is sample in look but is very comfortable and it of high quality || ALL MATERIAL USED ARE MADE IN INDIA || Can be used as a laptop bag , school bag , casual backpack , college bag , backpack , bags , bagpack etc,Capacity: 35 Litres, Weight: 0.6kg; Dimensions: 48cm x 34cm x 21cm ; Quality: best quality as it is perfectly designed and made from high quality lightweight nylon and double dotted waterproof polyester.,Color : Navy || Closure Type : Zipper || Gender : Unisex || Free Rain Cover (Heavy Quality) || Two Side Water Bottle Mesh Pockets || Two Main Compartment And One Extra Compartment Offers Space For Magazines, Notepad,Other Laptop Accessories, Stationery items || Eco-friendly, Durable, Lightweight, Flexible And Star Water-Resistant Material Helps To Keep The Interior Dry with a high quality material that keep Dust away,This backpack is made to used for boys, girls, men, women and kids. This bag is very good for boys and girls of age between 11 to 16 years because it has enough space to carry all books and accessories and it is very comfortable and stylish."
B09QJ7ZF2Y,699,"TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port and anti -theft back pocket Laptop bag , office bag , college bag ( LEGEND )",3.9,483,,https://amazon.com/dp/B09QJ7ZF2Y,"Product description Features: Made of durable and Eco-friendly water resistant oxford textile fabric, keep your laptop dry from small rain. Built-in well padded laptop sleeve with elastic velcro strap closure. Soft air permeability padded back cushion shoulder straps make it light and make you all day comfortable. Multiple compartments allow you to keep all of your stuffs secure and organized. Night vision reflective design, which keeps you safe while bicycling at night. A anti-theft zipped pocket for your valuables. This laptop bag can used for daily walk-around, work, school, day trips, vacation, travel, day hikes ,camping etc. What you can put in this laptop backpack? - You can put 2-3 clothes, A4 books, 15.6"" laptop, i-pad, glasses, wallet, keys, earphone, power bank, camera, cell phone and document in the back pack. - You Get What You pay for! Don't compare with cheaply made, Considering the high quality of the material, components, finishing and overall design it is exceptional value for money.","➧ Superior & Durability: Made of durable and Eco-friendly water resistant oxford textile fabric,which keeps your files and stuffs dry inside. This backpack can hold up to 15.6"" laptop from most brands, but it may not be suitable for all brand 15.6"". Since there maybe exist slight size difference among different laptop brands.,Style Name: Traditional Backpacks; Pocket Description: Utility Pocket,➧ PREMIUM MATERIAL: Made from high quality, waterproof Polyester material in grey color. Premium quality smooth zippers, pullers, buckles.,Highly Water Resistant Material: This Backpack is water-resistant. The material is the reversed side of 1680D special polyester, which is waterproof, tear-resistant, anti-scratch and built for lasting durability."
B08678P2T7,599,Northzone Lightweight School Bags Backpacks for Boys Girls Stylish Men and Women Casual Travel Laptop Bag College Office (Navy Blue) 40L,4.1,"3,134",Northzone,https://amazon.com/dp/B08678P2T7,"NORTHZONE BACKPACK If you carry your laptop to and from work, then this laptop bag from Northzone will definitely make travelling easier. Compatibility This backpack can fit a 38.1 cm laptop comfortably. Compartments This bag has three spacious compartments to store the laptop, charger, external devices, and other accessories with ease. Pockets The two mesh pockets on either sides of this black and blue backpack allow you to store a water bottle, ID card and other knick-knacks, so you can access them easily.","COMPATIBLE WITH 15.6 INCH LAPTOP”: The Northzone Backpack fits up to 15.6 inch laptop. Dimensions: 34cm x 15cm x 45.5cm; Weight: 499g; HIGH QUALITY, DURABLE AND WATER REPELLANT FABRIC”: This backpack features in durable snow yarn polyester fabric and streamlined design with a padded interior to protect notebooks and important items,CONVENIENT TRAVEL"" Adjustable shoulder strap and padded laptop compartment together with a quilted back panel make it comfortable for all-day use,CONVENIENTLY PLACED PADDED LAPTOP COMPARTMENTS AND POCKETS: The padded interior helps protect notebooks and important items. Quick access zippered front pocket for added storage. A quilted back panel make it comfortable for all-day use.,HIGH QUALITY, CASUAL YET STYLISH DESIGN"": very attractive and perfect for school, travel and outdoor activities. The perfect backpack for those needing stylish all-day protection for their laptop.; Pattern Name: Solid; Closure Type: Zipper; Age Range Description: Kid; Pocket Description: Utility Pocket"
B07G3CG9FC,499,ADISA Laptop Backpack 31 Ltrs,4.0,"7,706",,https://amazon.com/dp/B07G3CG9FC,,
B088XB5XY8,249,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",4.1,"3,212",,https://amazon.com/dp/B088XB5XY8,,
B081GSQ9D9,567,"POLESTAR Vintage 32 L College/ School/ Office/ Casual/ Travel Backpack with 15.6"" laptop compartment, suitable for both men & women,1 year warranty",4.0,"6,176",POLESTAR,https://amazon.com/dp/B081GSQ9D9,"At POLESTAR, we believe TRAVEL should be fun. We take pride in making stylish, high quality, and yeah, fun BACKPACKS that you can rely on. Polestar is aimed at travellers who like to make a style statement everywhere they go. While the bags offer world class functional features, the brand is committed to helping you Xplore the world with us through vibrant and unique designs that add an edge to the traveller's personality. Behind the stylish aesthetics, lies over four decades of design and engineering innovation, resulting in products that are as durable and reliable as they are stylish! Buy Outdoor Backpacks, Rucksacks Online at POLESTAR Backpacks, Rucksacks are the best and most practical method to carry your belongings without worrying about their weight or safety. They are always a viable alternative, whether you're going out for the night or taking a short beach trip with pals. POLESTAR provides outdoor bags in a variety of sizes, colours, and patterns, allowing you to choose from an abundance of possibilities based on your style. Buy professional laptop backpacks Online at POLESTAR Very often when we are looking at options to wear for the office, we only concentrate on our clothes and shoes. We forget that the accessories that help complete the whole look include a good belt, the right jewellery (for women) and of course, a great professional backpack. POLESTAR ensures that you not only get your hands on stylish laptop bags online but also the best professional backpack that meets all your functional needs. Buy School, Tuition Bags Online at POLESTAR POLESTAR knows what consumers are looking for and what are the current trends in school, tuition backpacks for boys and girls backpacks, which is what gives the brand a cutting edge. POLESTAR manufactures a wide variety of products like rucksacks, backpacks, duffels, laptop bags, everyday travel accessories and short haul essentials made from quality materials.","✅DIMENSIONS: 32 Cm x 20 Cm x 44 Cm, CAPACITY: 32 Litres,✅NUMBER OF COMPARTMENTS: 2 full size compartments, 1 front zippers & 2 side pockets, LAPTOP COMPARTMENT: Padded laptop compartment with elasticated strap lock, LAPTOP SIZE: 13 to 15 inches,✅MATERIAL: Polyester & Faux Leather, COLOR: Black,✅SPECIAL FEATURES: Ergonomic design, lightweight, padded breathable mesh back with adjustable S-Curved shoulder straps which protects the backbone and help to relieve stress on shoulders, smooth & durable zippers, padded haul loop, 2 bottle/ umbrella easy access pockets, 1 front stationary pockets,✅CONSUMER: Suitable for men, women, students, boys & girls, can be used as school, college, office or day travelling backpacks."
B084JGJ8PF,548,Wesley Milestone 2.0 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Blue and Black),4.3,"6,599",Wesley,https://amazon.com/dp/B084JGJ8PF,"Comfortable/ Durable: Made of water resistant Oxford cloth withdurable zippers.Comfortable wide breathable mesh shoulder straps with plentiful sponge pad help relieve the stress from your shoulder. Both sides of the shoulder strap with pocket design, can hang sunglasses and other small pendants.Functional & convenience: A compression-molded back panel complete with engineered airflow channels as well as adjustable padded shoulder straps which helps distribute a more even load. and a secret pocket ensures great comfort and safety in your journey.Stylish and practical backpack :This Minimalist design backpack is Light-weight and stylish which is perfect for school, travel, hiking, business, everyday use and outdoor activities. Good choose for a business laptop backpack, work backpack for men and women,And it is a ideal present for boys girls or back to school graduation present.","30L Capacity: The Backpack has a padded laptop compartment that can fit 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass.,Multi-Level Organizer: The backpack has a front zipper pocket for the ID card, Sanitizer, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band. Spacious second compartment for all your electronics.,Ergonomic Design: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body.,Made In India: Wesley Business Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks,1 Year Warranty: The Wesley Business casual backpack comes with 1 year of warranty,Water Resistant Material: Advanced IPX4 coating on the material ensures resistance to water entering from any direction."
